domain,score,tranco_rank,category,sector_tags,theme,plugins,homepage_kb,verified_at,screenshot
n1hotel.co.zw,100,,ecommerce,hospitality,Avada,litespeed-cache;revslider,134,2026-05-01T12:37:04.464774+00:00,screenshots/n1hotel.co.zw.png
ri.msu.ac.zw,100,,education,tech,research-innovation,download-manager;elementor;elementskit-lite;essential-addons-for-elementor-lite;header-footer-elementor;lastudio-element-kit;makohflow-slider;newsify;research-innovation;staff-profiles,243,2026-05-01T12:37:07.596131+00:00,screenshots/ri.msu.ac.zw.png
thezimbabwetimes.co.zw,78,,news,media,soledad,contact-form-7;elementor;jetpack;penci-portfolio;penci-recipe;penci-review;penci-shortcodes;webpushr-web-push-notifications,824,2026-05-01T12:37:10.241540+00:00,screenshots/thezimbabwetimes.co.zw.png
mealiebrand.co.zw,100,,ecommerce,agriculture;retail,Divi,google-site-kit;woocommerce,190,2026-05-01T12:37:13.865908+00:00,screenshots/mealiebrand.co.zw.png
backasable.co.zw,100,,other,other,hello-elementor,Paynow-for-WooCommerce-master;elementor;jeg-elementor-kit;metform;wc-donation-platform;woo-checkout-field-editor-pro;woocommerce,347,2026-05-01T12:37:15.210346+00:00,screenshots/backasable.co.zw.png
kipros.co.zw,100,,business,real-estate,kadence,click-to-chat-for-whatsapp;elementor;royal-elementor-addons;the-post-grid,95,2026-05-01T12:37:18.828701+00:00,screenshots/kipros.co.zw.png
dulys.co.zw,100,,ecommerce,retail;transport,hello-elementor,complianz-gdpr;elementor;elementor-pro;essential-addons-for-elementor-lite;header-footer-elementor,178,2026-05-01T12:37:20.921022+00:00,screenshots/dulys.co.zw.png
mic.gov.zw,98,,government,other,,,,,
mines.gov.zw,98,,government,mining,,,,,
energy.gov.zw,98,,government,energy,,,,,
gillfunsteel.co.zw,100,,business,mining,,,,,
safeafricarealestate.co.zw,100,,ecommerce,real-estate,,,,,
jobs.bambazonke.co.zw,100,,business,tech;retail,,,,,
gogodeliveryexpress.co.zw,100,,ecommerce,transport;retail,,,,,
